TR #:,1
Comp ID:,2
Pr Setpoint:,5.00
Deadband:,0.50

Cal Info
Model:,,Gage #:,,Cal Date:,
Slope:,10846.941,Offset:,-141.782,Units:,kPa
Master Gage:,

Cal Points Taken
kPa,Amps
-10.9000,0.0121
0.0000,0.0131
20.1000,0.0149


Date/Time,# Points,Min. P,Max. P, Ave. P
10/12/2018 8:56:30 AM,1,0.095,0.095,0.095
10/12/2018 8:56:31 AM,2,0.095,0.171,0.133
10/12/2018 8:56:32 AM,3,0.095,0.261,0.176
10/12/2018 8:56:33 AM,4,0.095,0.347,0.218
10/12/2018 8:56:34 AM,5,0.095,0.434,0.262
10/12/2018 8:56:35 AM,6,0.095,0.521,0.305
10/12/2018 8:56:36 AM,7,0.095,0.607,0.348
10/12/2018 8:56:37 AM,8,0.095,0.687,0.390
10/12/2018 8:56:38 AM,9,0.095,0.771,0.433
10/12/2018 8:56:39 AM,10,0.095,0.853,0.475
10/12/2018 8:56:40 AM,11,0.095,0.934,0.517
10/12/2018 8:56:41 AM,12,0.095,1.014,0.558
10/12/2018 8:56:42 AM,13,0.095,1.090,0.599
10/12/2018 8:56:43 AM,14,0.095,1.170,0.640
10/12/2018 8:56:44 AM,15,0.095,1.247,0.680
10/12/2018 8:56:45 AM,16,0.095,1.345,0.722
10/12/2018 8:56:46 AM,17,0.095,1.495,0.767
10/12/2018 8:56:47 AM,18,0.095,1.606,0.814
10/12/2018 8:56:48 AM,19,0.095,1.705,0.861
10/12/2018 8:56:49 AM,20,0.095,1.804,0.908
10/12/2018 8:56:50 AM,21,0.095,1.896,0.955
10/12/2018 8:56:51 AM,22,0.095,1.989,1.002
10/12/2018 8:56:52 AM,23,0.095,2.081,1.049
10/12/2018 8:56:53 AM,24,0.095,2.173,1.096
10/12/2018 8:56:54 AM,25,0.095,2.267,1.143
10/12/2018 8:56:55 AM,26,0.095,2.349,1.189
10/12/2018 8:56:56 AM,27,0.095,2.440,1.235
10/12/2018 8:56:57 AM,28,0.095,2.529,1.282
10/12/2018 8:56:58 AM,29,0.095,2.617,1.328
10/12/2018 8:56:59 AM,30,0.095,2.703,1.373
10/12/2018 8:57:00 AM,31,0.095,2.791,1.419
10/12/2018 8:57:01 AM,32,0.095,2.876,1.465
10/12/2018 8:57:02 AM,33,0.095,2.958,1.510
10/12/2018 8:57:03 AM,34,0.095,3.046,1.555
10/12/2018 8:57:04 AM,35,0.095,3.128,1.600
10/12/2018 8:57:05 AM,36,0.095,3.208,1.645
